time, m, h, n, V
4.41,0.0520687,0.594564,0.317443,0.130719
4.42,0.052071,0.594571,0.31744,0.130324
4.43,0.0520733,0.594578,0.317437,0.129929
4.44,0.0520756,0.594586,0.317433,0.129533
4.45,0.0520779,0.594593,0.31743,0.129136
4.46,0.0520802,0.5946,0.317427,0.128738
4.47,0.0520825,0.594607,0.317424,0.12834
4.48,0.0520848,0.594614,0.317421,0.127941
4.49,0.0520871,0.594621,0.317418,0.127541
4.5,0.0520894,0.594628,0.317415,0.127141
4.51,0.0520918,0.594635,0.317412,0.12674
4.52,0.0520941,0.594642,0.317409,0.126338
4.53,0.0520965,0.594649,0.317405,0.125936
4.54,0.0520988,0.594656,0.317402,0.125533
4.55,0.0521012,0.594662,0.317399,0.125129
4.56,0.0521035,0.594669,0.317396,0.124725
4.57,0.0521059,0.594676,0.317393,0.12432
4.58,0.0521083,0.594683,0.31739,0.123914
4.59,0.0521106,0.59469,0.317388,0.123508
4.6,0.052113,0.594696,0.317385,0.123101
4.61,0.0521154,0.594703,0.317382,0.122694
4.62,0.0521178,0.59471,0.317379,0.122286
4.63,0.0521202,0.594716,0.317376,0.121877
4.64,0.0521226,0.594723,0.317373,0.121468
4.65,0.052125,0.59473,0.31737,0.121059
4.66,0.0521274,0.594736,0.317367,0.120649
4.67,0.0521298,0.594743,0.317365,0.120238
4.68,0.0521323,0.594749,0.317362,0.119827
4.69,0.0521347,0.594756,0.317359,0.119415
4.7,0.0521371,0.594762,0.317356,0.119003
4.71,0.0521395,0.594769,0.317353,0.118591
4.72,0.052142,0.594775,0.317351,0.118177
4.73,0.0521444,0.594782,0.317348,0.117764
4.74,0.0521469,0.594788,0.317345,0.11735
4.75,0.0521493,0.594794,0.317343,0.116935
4.76,0.0521518,0.594801,0.31734,0.116521
4.77,0.0521543,0.594807,0.317337,0.116105
4.78,0.0521567,0.594813,0.317335,0.115689
4.79,0.0521592,0.59482,0.317332,0.115273
4.8,0.0521617,0.594826,0.317329,0.114857
4.81,0.0521641,0.594832,0.317327,0.11444
4.82,0.0521666,0.594838,0.317324,0.114023
4.83,0.0521691,0.594845,0.317322,0.113605
4.84,0.0521716,0.594851,0.317319,0.113187
4.85,0.0521741,0.594857,0.317317,0.112768
4.86,0.0521766,0.594863,0.317314,0.11235
4.87,0.0521791,0.594869,0.317312,0.111931
4.88,0.0521816,0.594875,0.317309,0.111511
4.89,0.0521841,0.594881,0.317307,0.111091
4.9,0.0521866,0.594887,0.317304,0.110671
4.91,0.0521891,0.594893,0.317302,0.110251
4.92,0.0521916,0.594899,0.3173,0.10983
4.93,0.0521942,0.594905,0.317297,0.109409
4.94,0.0521967,0.594911,0.317295,0.108988
4.95,0.0521992,0.594917,0.317292,0.108567
4.96,0.0522017,0.594923,0.31729,0.108145
4.97,0.0522043,0.594928,0.317288,0.107723
4.98,0.0522068,0.594934,0.317285,0.107301
4.99,0.0522094,0.59494,0.317283,0.106878
5,0.0522119,0.594946,0.317281,0.106456
5.01,0.0522144,0.594952,0.317279,0.106033
5.02,0.052217,0.594957,0.317276,0.10561
5.03,0.0522195,0.594963,0.317274,0.105187
5.04,0.0522221,0.594969,0.317272,0.104763
5.05,0.0522246,0.594974,0.31727,0.10434
5.06,0.0522272,0.59498,0.317268,0.103916
5.07,0.0522298,0.594986,0.317265,0.103492
5.08,0.0522323,0.594991,0.317263,0.103068
5.09,0.0522349,0.594997,0.317261,0.102643
5.1,0.0522375,0.595002,0.317259,0.102219
5.11,0.05224,0.595008,0.317257,0.101795
5.12,0.0522426,0.595013,0.317255,0.10137
5.13,0.0522452,0.595019,0.317253,0.100945
5.14,0.0522477,0.595024,0.317251,0.10052
5.15,0.0522503,0.595029,0.317249,0.100095
5.16,0.0522529,0.595035,0.317247,0.0996702
5.17,0.0522555,0.59504,0.317245,0.0992451
5.18,0.0522581,0.595046,0.317243,0.0988199
5.19,0.0522606,0.595051,0.317241,0.0983947
5.2,0.0522632,0.595056,0.317239,0.0979693
5.21,0.0522658,0.595061,0.317237,0.097544
5.22,0.0522684,0.595067,0.317235,0.0971186
5.23,0.052271,0.595072,0.317233,0.0966931
5.24,0.0522736,0.595077,0.317231,0.0962677
5.25,0.0522762,0.595082,0.317229,0.0958422
5.26,0.0522788,0.595087,0.317227,0.0954167
5.27,0.0522814,0.595092,0.317225,0.0949912
5.28,0.052284,0.595098,0.317224,0.0945657
5.29,0.0522866,0.595103,0.317222,0.0941403
5.3,0.0522892,0.595108,0.31722,0.0937148
5.31,0.0522918,0.595113,0.317218,0.0932894
5.32,0.0522944,0.595118,0.317216,0.092864
5.33,0.052297,0.595123,0.317215,0.0924387
5.34,0.0522996,0.595128,0.317213,0.0920134
5.35,0.0523022,0.595133,0.317211,0.0915882
5.36,0.0523048,0.595138,0.317209,0.091163
5.37,0.0523074,0.595142,0.317208,0.090738
5.38,0.05231,0.595147,0.317206,0.090313
5.39,0.0523126,0.595152,0.317204,0.089888
5.4,0.0523152,0.595157,0.317203,0.0894632
5.41,0.0523179,0.595162,0.317201,0.0890385
5.42,0.0523205,0.595167,0.3172,0.0886139
5.43,0.0523231,0.595171,0.317198,0.0881894
5.44,0.0523257,0.595176,0.317196,0.0877651
5.45,0.0523283,0.595181,0.317195,0.0873409
5.46,0.0523309,0.595185,0.317193,0.0869168
5.47,0.0523335,0.59519,0.317192,0.0864928
5.48,0.0523361,0.595195,0.31719,0.0860691
5.49,0.0523388,0.595199,0.317189,0.0856454
5.5,0.0523414,0.595204,0.317187,0.085222
5.51,0.052344,0.595208,0.317186,0.0847987
5.52,0.0523466,0.595213,0.317184,0.0843756
5.53,0.0523492,0.595218,0.317183,0.0839527
5.54,0.0523518,0.595222,0.317181,0.08353
5.55,0.0523544,0.595227,0.31718,0.0831075
5.56,0.0523571,0.595231,0.317178,0.0826852
5.57,0.0523597,0.595235,0.317177,0.0822631
5.58,0.0523623,0.59524,0.317176,0.0818412
5.59,0.0523649,0.595244,0.317174,0.0814196
