time, m, h, n, V
4.84,0.0532875,0.593871,0.31795,-0.0899291
4.85,0.0532962,0.59387,0.317952,-0.0914153
4.86,0.0533051,0.593869,0.317954,-0.0929048
4.87,0.0533139,0.593867,0.317956,-0.0943977
4.88,0.0533227,0.593866,0.317959,-0.0958939
4.89,0.0533316,0.593865,0.317961,-0.0973933
4.9,0.0533405,0.593864,0.317963,-0.0988961
4.91,0.0533495,0.593862,0.317965,-0.100402
4.92,0.0533584,0.593861,0.317968,-0.101911
4.93,0.0533674,0.593859,0.31797,-0.103424
4.94,0.0533764,0.593857,0.317972,-0.10494
4.95,0.0533854,0.593856,0.317975,-0.106459
4.96,0.0533945,0.593854,0.317977,-0.107981
4.97,0.0534035,0.593852,0.31798,-0.109507
4.98,0.0534126,0.59385,0.317982,-0.111035
4.99,0.0534217,0.593849,0.317985,-0.112567
5,0.0534309,0.593847,0.317987,-0.114102
5.01,0.05344,0.593845,0.31799,-0.115641
5.02,0.0534492,0.593843,0.317993,-0.117182
5.03,0.0534584,0.59384,0.317995,-0.118727
5.04,0.0534676,0.593838,0.317998,-0.120275
5.05,0.0534769,0.593836,0.318001,-0.121826
5.06,0.0534862,0.593834,0.318004,-0.12338
5.07,0.0534955,0.593831,0.318007,-0.124937
5.08,0.0535048,0.593829,0.318009,-0.126497
5.09,0.0535141,0.593826,0.318012,-0.128061
5.1,0.0535235,0.593824,0.318015,-0.129627
5.11,0.0535329,0.593821,0.318018,-0.131197
5.12,0.0535423,0.593818,0.318021,-0.132769
5.13,0.0535517,0.593816,0.318025,-0.134345
5.14,0.0535612,0.593813,0.318028,-0.135924
5.15,0.0535706,0.59381,0.318031,-0.137506
5.16,0.0535801,0.593807,0.318034,-0.139091
5.17,0.0535896,0.593804,0.318037,-0.140679
5.18,0.0535992,0.593801,0.318041,-0.14227
5.19,0.0536087,0.593798,0.318044,-0.143863
5.2,0.0536183,0.593794,0.318047,-0.14546
5.21,0.0536279,0.593791,0.318051,-0.14706
5.22,0.0536376,0.593788,0.318054,-0.148663
5.23,0.0536472,0.593785,0.318058,-0.150269
5.24,0.0536569,0.593781,0.318061,-0.151878
5.25,0.0536666,0.593778,0.318065,-0.15349
5.26,0.0536763,0.593774,0.318068,-0.155105
5.27,0.053686,0.59377,0.318072,-0.156722
5.28,0.0536958,0.593767,0.318076,-0.158343
5.29,0.0537056,0.593763,0.31808,-0.159966
5.3,0.0537154,0.593759,0.318083,-0.161593
5.31,0.0537252,0.593755,0.318087,-0.163222
5.32,0.053735,0.593751,0.318091,-0.164854
5.33,0.0537449,0.593747,0.318095,-0.16649
5.34,0.0537548,0.593743,0.318099,-0.168128
5.35,0.0537647,0.593739,0.318103,-0.169768
5.36,0.0537746,0.593735,0.318107,-0.171412
5.37,0.0537845,0.593731,0.318111,-0.173059
5.38,0.0537945,0.593726,0.318115,-0.174708
5.39,0.0538045,0.593722,0.318119,-0.17636
5.4,0.0538145,0.593717,0.318123,-0.178015
5.41,0.0538245,0.593713,0.318127,-0.179673
5.42,0.0538346,0.593708,0.318132,-0.181334
5.43,0.0538447,0.593704,0.318136,-0.182997
5.44,0.0538548,0.593699,0.31814,-0.184663
5.45,0.0538649,0.593694,0.318144,-0.186332
5.46,0.053875,0.593689,0.318149,-0.188004
5.47,0.0538852,0.593685,0.318153,-0.189678
5.48,0.0538953,0.59368,0.318158,-0.191356
5.49,0.0539055,0.593675,0.318162,-0.193035
